SMALL_AREA,Cluster
268006036,3
268035009,3
267028052,5
267036006/01,4
267096009,4
268031011,3
267108005,4
268006038,2
267108015,4
268061010,3
267108014,3
267108013,4
267040062,2
267010003,4
267011004,4
267125016,4
267125013,7
267028037,5
267028098,5
267028034,5
267028108,4
267032004,2
267032005,2
267032003,2
267040053,7
267041004,4
267073006,4
267092033,5
267092047,5
267088005,4
267108002,3
267109011,4
267109014,4
267109018,4
267040025/01,5
267108003,3
267108008,3
267031004,4
267041013,4
267041012,4
267109013,4
267029019,2
267029021,6
267029025,6
267029024,6
267030005,4
267015007,4
267015008,4
267008008,4
267008003,4
267108012,5
267040023,4
267028109,2
268061012,3
267041002,4
267109019,5
267040021,4
267041001,4
267041003,4
267009008,4
267080008,7
267125007,4
267028008,4
267028119,5
267029034,6
267032002,2
267032010,6
268139001/268139013,3
267041014/01,4
267041016,1
268081003,1
267033002,4
267088007,4
267088008,4
268102005,7
268102009,7
267041006,4
267040025/02,5
267040011,4
267040010,4
267040050,5
267040016,5
267040015,4
267028089,5
267040014,7
267028030,5
267008004,4
267028087,5
267028090,2
267028031,5
267028066/01,2
267028085,5
267041008,4
267028026,4
267028076,2
267028116,2
268106002,1
267040009,4
267040007,5
267041010,4
268036001,3
268118005,1
268149001,7
268004007,3
268005014,6
267028015,5
268080010,3
267040005,4
267028044,5
267028043,5
267029027,5
267028006,5
268006040/02,2
268006040/01,2
268032003,3
267032007,2
267034001/03,6
267034006,6
267028097,5
268007001,7
268006002,4
268118004,1
268004005,7
268007009,7
267028059,5
268036007/01,3
268007005,4
268036012,4
268036006,3
268069003,3
268002011,6
268081010,3
267028107,3
268003012,1
267028022,4
267028020,5
267028060,5
268004002/268004008/268004013,7
267028057,3
267028054,4
267031018,4
267029011,4
268030002,7
268036011,3
268034001,3
267028092,2
268003015,1
268006037,4
267034005,6
267029002,2
267029017,6
267109009,5
268035004,3
267028048,5
267028099,5
267034001/02,2
267029028,2
267032012,2
267040026,5
268033004,3
267040063,4
268007004,3
267028036,5
268069001,3
268006035,1
268006034,2
268032007,7
267109012,4
268033005,3
267108009,3
267029010,3
268007003,4
267029012,4
268117003,7
268114011,7
268114010,7
268111008,7
268141003,1
268111001,7
268116013,7
268111002,7
268111005,7
268112008,3
267061005,4
268047005,3
268024001,4
268042007,4
268044002,4
268111007,4
268113017/03,7
267040018,4
267076002,4
267076003,4
267069003,4
267040045,5
267028001,5
267031015,2
267031003,4
267040017,5
267118013,4
267118007,5
267118016,5
267003008,2
267118024,2
267133004,4
267132034,5
267002036,5
267002028,2
267134006,7
267134020,5
267134022,4
267002047,2
267003017,3
267002007,6
267002012,2
267002017,2
267118012,5
267118010,4
267002040,5
267002039,2
267003022,3
267002042,4
267002043,2
267003001,5
267104004,2
267065015,5
267065013,2
267065003,2
267094010,4
267123005,6
267123009,6
267123027,4
267123013,5
267003019,3
267123023,3
267094012,4
267094011,4
267123020,4
267123019,5
267123014,5
267003003,5
267003011,3
267003013,1
267003009,3
267003005,5
267003024,5
267123003,2
267123018,5
267123026,4
267123022,3
267123024,4
267003025,3
267002032,5
267123015,4
267123010,5
267123021,4
267123017,4
267123004,5
267063006,3
267031007,4
267028086,5
267067002,7
267061006,4
267061004,4
267076001,4
267103021,4
267103028,4
267103027,4
267031001,4
267103009,4
268116008,7
267103023,4
267101002,5
267031016,2
267103008,4
267103007,3
267100036,2
267100073,2
268041013,4
268115005,7
268115013,7
268115014,4
268115004,4
268110006,6
268110008,6
268110017,3
267019014,7
267103031,3
267101016,4
267101003,2
268041003,4
268041005,4
267063001,4
267076006,3
268113017/02,3
267074006/03,2
267074006/02,3
267069002,4
267071005,6
267077006,4
267076004,4
267076010,4
267063005,4
267103029,4
267075001,4
267077004,7
267077001/01,7
267067001/267067012,1
267130007,4
267130005,4
267103006,4
267101004,6
267100032,2
267100056,5
267101015,4
267040044,2
267040003,2
267040027,4
268143024,7
