ID,AREA_DESC,ROADNAME,Area,TOTAL_SPACES,DIPPED_FOOTPATH,PARK_SIGN,ROAD_MARKING,OCCUPIED,Adjacent_Services,LAT,LONG
337,Howth Train Station,ACCESS ROAD,,1,TRUE, ,TRUE, ,"Train, Pub",53.38886965,-6.0742986
338,Howth Yacht Club,ACCESS TO YATH CLUB,,3,TRUE, ,TRUE, ,Sports Club,53.38887847,-6.068084592
339,Howth Yacht Club,ACCESS TO YATH CLUB,,3,TRUE, , , ,Sports Club,53.38884884,-6.068085732
340,Howth Yacht Club,ACCESS TO YATH CLUB,,3,TRUE,TRUE,TRUE, ,Sports Club,53.38879473,-6.068088618
341,Howth Yacht Club,ACCESS TO YATH CLUB,,2,TRUE,TRUE,TRUE, ,Sports Club,53.38866841,-6.068115381
342, ,ACCESS TO YATH CLUB,,2,TRUE, ,TRUE, ,Sports Club,53.38859149,-6.068223036
343,Outside Church,HARBOUR ROAD,,1, , ,TRUE, ,Church,53.3883745,-6.070599825
344,Howth Harbour,EAST PIER HOWTH HARBOUR,,1,TRUE, ,TRUE,TRUE,"Newsagents, Restaurant",53.38856783,-6.063871805
345,Outside Church,MAIN STREET,,1, , ,TRUE,TRUE,"Newsagents, Church, Cafe, Pub, Florist",53.38488894,-6.065075654
346,Outside Centra,MAIN STREET,,1, , ,TRUE,TRUE,"Newsagents, Church",53.38534864,-6.065129661
347,Baily Hotel,THORMANBY ROAD,,1,TRUE,TRUE,TRUE, ,Hotel,53.38571143,-6.064897191
348,Mary Mother of Hope National School,Little Pace Road,,3,TRUE, ,TRUE, ,Primary School,53.40468863,-6.424872457
349,Mary Mother of Hope National School,Little Pace Road,,3,TRUE, ,TRUE, ,School,53.40471496,-6.424853625
350,Mary Mother of Hope National School,Little Pace Road,,3,TRUE, ,TRUE, ,Primary School,53.40417896,-6.425190304
351,Hartstwon Shopping Centre,Hartstown Road,,1, , ,TRUE,TRUE,"Chemist, Bookmakers, Supermarket, Pub",53.39242659,-6.420105833
352,Hartstown Community School,Hartstown Road,,1, , ,TRUE, ,Secondary School,53.39660679,-6.415470588
353,Scoil an croi ro Naofa Iosa,Hartstown Road,,1, ,TRUE, ,TRUE,Secondary School,53.40206586,-6.409969103
354,Mountview Health Centre,Shelerin Road,,1, , ,TRUE, ,Health Centre,53.38918116,-6.40841273
355,Huntstown Community College,Hartstown Road,,1,TRUE, ,TRUE, ,Community Centre,53.40215269,-6.408068509
356,Cumann Naomh Peregrine C.L.G,Blakestown Road,,2, , ,TRUE, ,"Secondary School, GAA Club",53.39541658,-6.40506236
357,Cumann Naomh Peregrine C.L.G,Blakestown Road,,2, , ,TRUE, ,"Secondary School,  Sports Club, GAA Club",53.39533018,-6.405225161
