Name of Development,Street Address / Townland,"Town, Village, Suburb ",County,"""x"" East Coordinates","""y"" North Coordinates",TOTAL,Complete & occupied,Complete & vacant
CASTLE GARDENS,,BUNRATTY,Clare,544971,661298,56,,56
CLUAIN RAITE,BUNRATTY WEST,BUNRATTY,Clare,544593,661117,29,3,26
DUN RI, ,BUNRATTY,Clare,544724,661069,22,3,5
BUNRAITE,ROSAN,BUNRATTY,Clare,544774,661267,11,2,9
CUIRT MERRIMAN,NEW LINE,ENNISTYMON,Clare,513097,688157,28,20,8
ANNAGH DUN,MILTOWN MALBAY ROAD,INAGH,Clare,520677,681120,56,48,8
ROSLEVAN SQUARE,TULLA ROAD,ENNIS,Clare,535937,678826,0, , 
TULLA ROAD,ROSLEVAN,ENNIS,Clare,536124,678570,57,42,3
MOYARD,SHANBALLA,ENNIS,Clare,531788,678260,132,121,11
THE SIDING,ENNISTYMON ROAD,LAHINCH,Clare,511337,688251,8,2,1
COIS TRA,SCHOOL HOUSE ROAD,LAHINCH,Clare,510422,687219,77,1,
CREGG BEACH,MILTOWN MALBAY ROAD,LAHINCH,Clare,509288,686497,13, , 
INIS CLAIR,KILDYSART ROAD,ENNIS,Clare,533907,674679,88,79,9
SILVERGROVE,BALLYBEG,ENNIS,Clare,532983,674949,38,33, 
MARKET PLACE,GORT RD/BRIDGE STREET,CORROFIN,Clare,528577,688723,12,8,4
LAGTAGOONA,KILFENORA ROAD,CORROFIN,Clare,528559,689275,38,33,5
KILFENORA ROAD,WEST OF STELLA MARIS,LISDOONVARNA,Clare,514034,697649,4,1,3
BRIDGE ROAD,WEST OF SPA,LISDOONVARNA,Clare,513437,697990,7, ,7
BURREN COURT,DOONYVARDEN,BALLYVAUGHAN,Clare,519805,701563,9,4,5
BRUACHLAN,WESTBURY,LIMERICK CITY AREA,Clare,559443,658848,123,72,1
SLI AN FHEARGAIS,QUAY ROAD,CLARECASTLE,Clare,535092,674127,42,17,5
ROSLEVAN ,CLUAIN ROS LEAMHAIN,ENNIS,Clare,535468,679115,83,16,33
RIVERSIDE COURT,CLONROADMORE,ENNIS,Clare,533238,675876,9,6, 
ORCHARD DRIVE,LISSANE,CLARECASTLE,Clare,534801,673865,19,11,6
MILLROAD HOUSE,CORNMARKET,ENNIS,Clare,533363,677602,5,4,1
AISLING,SHANVOGH,ENNIS,Clare,531700,677989,103,92,11
ACHA BHILLE,LOUGHVILLE,ENNIS,Clare,531804,679032,131,44,63
PAIRC NA COILLE,DRUMBIGGLE ROAD,ENNIS,Clare,532892,676670,62,7,55
CUIRT AN FHILE,ROSLEVAN,ENNIS,Clare,536003,678469,19,17,2
COIS FHORGHAIS,CLARECASTLE,CLARECASTLE,Clare,535109,674281,118, , 
GLEANN CORA,BALLYCAR ROAD,NEWMARKET-ON-FERG.,Clare,540126,668256,73,67,6
THOMOND MILLS,GEORGES STREET,SIXMILEBRIDGE,Clare,547830,666013,17,7,6
CHUIRT AN DROICHEAD,MAIN STREET,SIXMILEBRIDGE,Clare,547746,665819,20,17,3
LIOS ANAMA,SHANNON ROAD,SIXMILEBRIDGE,Clare,547111,665967,28,16,4
ARD RATHA,BROADFORD ROAD,SIXMILEBRIDGE,Clare,548150,666593,61,19,3
ARD NA DEIRGE,KNOCKYCLORAUN,KILLALOE,Clare,569564,672976,87, ,19
SHANTRAUD WOODS,CLONARA ROAD,KILLALOE,Clare,569969,672197,40,30,6
CHURCH FIELDS,NEWTOWN ROAD,CLONLARA,Clare,562342,663602,85,65,18
MAIN STREET,MAIN STREET,KILKISHEN,Clare,549473,673069,2, ,0
CLUAIN NA LAOI,CLONLEA,KILKISHEN,Clare,549913,673316,59,39,4
BALLINA QUAY, ,BALLINA,Clare,570401,673338,57,15,36
EAST CLARE GOLF VILLAGE,COOLREAGHBEG,BODYKE,Clare,559765,683432,50,42,8
GORT NA COILLE,FERRY ROAD,KILRUSH,Clare,499726,654417,55,52,3
RIVERWOOD,KILLIMER ROAD,KILRUSH,Clare,499814,654943,0, , 
QUAY MILLS,CROFTON STREET,KILRUSH,Clare,499087,655015,22,5,17
BEAL AN INBHIR,SHANAKYLE ROAD,KILRUSH,Clare,498492,654961,60,36,7
