Year,Business,Statistic,Count
2010,Accommodation and food service activities (I),Employees (Number),4860
2010,Information and communication (J),Employees (Number),1092
2010,Financial and insurance activities excluding activities of holding companies (K-642),Employees (Number),293
2010,Real estate activities (L),Employees (Number),242
2010,"Professional, scientific and technical activities (M)",Employees (Number),936
2010,Administrative and support service activities (N),Employees (Number),658
2010,Education (P),Employees (Number),2054
2010,"ICT services (261 to 264,268,465,582,61,62,631)",Employees (Number),945
2010,"Business economy excluding activities of holding companies (B to N,-642)",Employees (Number),22122
2011,Mining and quarrying (B),Employees (Number),163
2011,Manufacturing (C),Employees (Number),4281
2011,"Electricity, gas, steam and air conditioning supply (D)",Employees (Number),16
2011,"Water supply, sewerage, waste management and remediation activities (E)",Employees (Number),157
2011,Construction (F),Employees (Number),1805
2011,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Employees (Number),6590
2011,Transportation and storage (H),Employees (Number),891
2011,Accommodation and food service activities (I),Employees (Number),4804
2011,Information and communication (J),Employees (Number),1190
2011,Financial and insurance activities excluding activities of holding companies (K-642),Employees (Number),302
2011,Real estate activities (L),Employees (Number),254
2011,"Professional, scientific and technical activities (M)",Employees (Number),917
2011,Administrative and support service activities (N),Employees (Number),738
2011,Education (P),Employees (Number),2119
2011,"ICT services (261 to 264,268,465,582,61,62,631)",Employees (Number),1031
2011,"Business economy excluding activities of holding companies (B to N,-642)",Employees (Number),22108
2012,Mining and quarrying (B),Employees (Number),147
2012,Manufacturing (C),Employees (Number),4246
2012,"Electricity, gas, steam and air conditioning supply (D)",Employees (Number),22
2012,"Water supply, sewerage, waste management and remediation activities (E)",Employees (Number),158
2012,Construction (F),Employees (Number),1562
2012,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Employees (Number),6493
2012,Transportation and storage (H),Employees (Number),897
2012,Accommodation and food service activities (I),Employees (Number),4907
2012,Information and communication (J),Employees (Number),1308
2012,Financial and insurance activities excluding activities of holding companies (K-642),Employees (Number),302
2012,Real estate activities (L),Employees (Number),243
2012,"Professional, scientific and technical activities (M)",Employees (Number),858
2012,Administrative and support service activities (N),Employees (Number),733
2012,Education (P),Employees (Number),2091
2012,"ICT services (261 to 264,268,465,582,61,62,631)",Employees (Number),1102
2012,"Business economy excluding activities of holding companies (B to N,-642)",Employees (Number),21876
2013,Mining and quarrying (B),Employees (Number),147
2013,Manufacturing (C),Employees (Number),4489
2013,"Electricity, gas, steam and air conditioning supply (D)",Employees (Number),28
2013,"Water supply, sewerage, waste management and remediation activities (E)",Employees (Number),156
2013,Construction (F),Employees (Number),1549
2013,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Employees (Number),6730
2013,Transportation and storage (H),Employees (Number),923
2013,Accommodation and food service activities (I),Employees (Number),5045
2013,Information and communication (J),Employees (Number),1464
2013,Financial and insurance activities excluding activities of holding companies (K-642),Employees (Number),319
2013,Real estate activities (L),Employees (Number),256
2013,"Professional, scientific and technical activities (M)",Employees (Number),868
2013,Administrative and support service activities (N),Employees (Number),751
2013,Education (P),Employees (Number),2118
2013,"ICT services (261 to 264,268,465,582,61,62,631)",Employees (Number),1248
2013,"Business economy excluding activities of holding companies (B to N,-642)",Employees (Number),22725
2014,Mining and quarrying (B),Employees (Number),141
2014,Manufacturing (C),Employees (Number),4713
2014,"Electricity, gas, steam and air conditioning supply (D)",Employees (Number),40
