id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9901340,"Gracious period house , city centre",21376980,Petra,,Dublin City,53.34262,-6.2431,Entire home/apt,520,3,63,2019-11-04,1.38,1,154
9912531,Sweet and lovely Place,50882060,Angeliika,,Dublin City,53.33386,-6.27589,Private room,110,2,6,2016-06-05,0.12,2,365
9913012,"One bedroom flat, river-side, cosy & easy to use",50433198,Catherine,,Dublin City,53.34919,-6.34654,Entire home/apt,71,14,18,2019-12-21,0.49,1,0
9918231,Twin Bedroom in a great localization,22808200,Rafael,,Dublin City,53.34833,-6.28118,Private room,44,1,188,2020-03-02,4.22,3,1
9919222,Cosy Apartment,50995968,Denis,,Dublin City,53.36001,-6.27519,Entire home/apt,95,2,238,2020-03-07,4.77,1,223
9924908,Room in Dublin city,5900018,Morgane,,Dublin City,53.35515,-6.23538,Private room,25,1,1,2016-01-25,0.02,1,0
9926255,Large 1 bed apt near Trinity!,6988257,Sean,,Dublin City,53.34178,-6.24253,Entire home/apt,479,2,8,2017-03-19,0.15,1,0
9931795,Cosy and quiet city centre apartment,6920223,Hannah,,Dublin City,53.34764,-6.2623,Entire home/apt,65,7,1,2016-01-05,0.02,1,0
9932345,One double bedroom in a large 2 bed,51054054,Richard,,Dublin City,53.33808,-6.24202,Private room,60,7,9,2019-09-14,0.39,2,328
9934222,Prime located large 2 bed apartment,51054054,Richard,,Dublin City,53.33901,-6.24386,Entire home/apt,206,5,23,2019-07-27,0.45,2,0
9936963,Spencer Dock,31935239,Pat,,Dublin City,53.34936,-6.2447,Entire home/apt,100,14,0,,,1,0
9941144,Penthouse - close to airport,50990874,Paul,,Fingal,53.48788,-6.15299,Private room,75,3,34,2019-09-13,0.73,2,116
9946233,Comfy and Convenient 2 Bed Home in South Dublin,23186623,Alejandro,,Dublin City,53.32935,-6.26644,Entire home/apt,500,4,71,2020-01-01,1.47,2,0
9950604,Double Bedroom in City Center,22284193,Alessandro,,Dublin City,53.35306,-6.24871,Private room,55,1,17,2016-08-23,0.35,1,0
9969686,Grand Canal Place,28581722,Domenico,,Dublin City,53.34361,-6.23843,Private room,45,1,11,2016-03-16,0.22,1,0
9970047,Private flat in central location,39577919,Daniela,,Dublin City,53.35918,-6.25246,Entire home/apt,50,3,0,,,1,0
9972553,Double Room,51242763,Ana,,Dn Laoghaire-Rathdown,53.28702,-6.1255,Private room,35,1,0,,,1,0
9995720,Private room 3rd August to beginning September,51351052,Iago,,Dublin City,53.35777,-6.25851,Private room,34,1,0,,,1,0
