id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32650993,"Large bedroom with own ensuite, private 3rd floor",12000497,Peter,,Dublin City,53.3312,-6.29645,Private room,65,2,24,2019-11-04,2.76,2,253
32652371,3 Quiet Studio Dublin City Centre Portobello Area GRO798,105851083,Jake,,Dublin City,53.32813,-6.26919,Entire home/apt,30,1,41,2019-11-03,4.57,4,90
32654232,"Stylish 3 Bedroom Townhouse, Ideal for Groups",245514929,Kim,,Dublin City,53.33085,-6.27482,Entire home/apt,520,3,11,2019-07-14,1.43,1,90
32656622,Double Room 2 - 20 min from city center,127935371,Gabriela,,Dublin City,53.36667,-6.27547,Private room,54,4,22,2019-11-05,2.65,20,43
32657191,Cosy home with lots of great local amenities,81096485,Karen,,Dn Laoghaire-Rathdown,53.28091,-6.2649,Entire home/apt,100,2,2,2019-08-24,0.55,1,0
32662614,Cosy & Modern 63/2,70154490,Gavin  RG,,Dublin City,53.31692,-6.27103,Entire home/apt,85,2,22,2019-10-24,2.72,23,76
32667012,Enormous & Comfortable En-Suite 1,173195654,Hannah,,Dublin City,53.34846,-6.29359,Private room,80,2,37,2019-11-11,4.29,4,39
32669238,Cosy room,100082112,Lilla,,South Dublin,53.28049,-6.3623,Private room,36,1,20,2019-10-07,3.23,1,0
32676925,Beautiful design | Inviting Family Home ★ Ballsbridge,202961997,Sweet Inn,,Dublin City,53.33578,-6.22399,Entire home/apt,250,2,12,2019-10-17,1.43,28,122
32677152,Single room In quiet clean house.,40874984,Dan,,Dn Laoghaire-Rathdown,53.27286,-6.25201,Private room,30,1,1,2019-06-09,0.18,2,0
32678472,Malahide luxury apartment,241207494,Adrienne,,Fingal,53.44146,-6.15011,Entire home/apt,220,2,11,2019-11-15,2.39,1,73
32679988,HOLLIDAY CITY CENTRE FLAT IN THE HEART OF DUBLIN,245724114,Miglioli,,Dublin City,53.35301,-6.24672,Entire home/apt,70,1,1,2019-04-07,0.13,1,0
32681417,Comfortable home in quiet neighborhood,6436828,Adrianne,,Dn Laoghaire-Rathdown,53.26532,-6.15488,Private room,30,30,0,,,2,0
32685705,Double Room 3 - 20 min from city center,127935371,Gabriela,,Dublin City,53.36549,-6.2737,Private room,54,4,24,2019-11-05,2.71,20,55
32686636,Stunning TopFloor Apt City Centre Off O’Connell St,180273152,Caroilin,,Dublin City,53.35298,-6.26513,Entire home/apt,115,2,23,2019-09-20,3.43,10,0
32686821,Bright 2Bed 2Bath Apt City Centre Off O’Connell St,180273152,Caroilin,,Dublin City,53.35219,-6.26474,Entire home/apt,145,2,26,2019-09-23,4.38,10,0
32690117,Stylish 2-Bed Apt City Centre Off O’Connell St,180273152,Caroilin,,Dublin City,53.35163,-6.2658,Entire home/apt,145,2,29,2019-09-23,3.92,10,0
32690145,Small ‘Bijou’ Studio Apartment with Wifi,211091139,Alan,,Dublin City,53.36145,-6.25786,Entire home/apt,51,14,49,2019-11-16,5.95,3,98
32690681,Bright Modern & Spacious Apt Off O’Connell St,180273152,Caroilin,,Dublin City,53.35261,-6.26523,Entire home/apt,125,2,34,2019-09-18,4.47,10,0
